state,gop_win
Alabama,99.9
Alaska,88.2
Arizona,9.9
Arkansas,100.0
California,0.0
Colorado,0.0
Connecticut,0.0
Delaware,0.0
District of Columbia,0.0
Florida,13.3
Georgia,22.2
Hawaii,0.0
Idaho,100.0
Illinois,0.0
Indiana,99.6
Iowa,44.0
Kansas,91.5
Kentucky,100.0
Louisiana,88.5
Maine,0.0
ME-01,0.0
ME-02,23.2
Maryland,0.0
Massachusetts,0.0
Michigan,0.8
Minnesota,0.5
Mississippi,96.9
Missouri,98.9
Montana,90.2
Nebraska,100.0
NE-01,99.9
NE-02,5.1
NE-03,100.0
Nevada,2.1
New Hampshire,0.7
New Jersey,0.0
New Mexico,0.0
New York,0.0
North Carolina,17.2
North Dakota,100.0
Ohio,35.7
Oklahoma,100.0
Oregon,0.0
Pennsylvania,5.8
Rhode Island,0.0
South Carolina,90.4
South Dakota,100.0
Tennessee,100.0
Texas,28.1
Utah,97.0
Vermont,0.0
Virginia,0.1
Washington,0.0
Wisconsin,2.9
West Virginia,100.0
Wyoming,100.0
